transaction_id,card_number,transaction_datetime,transaction_amount,merchant_id,merchant_category,transaction_type,entry_mode,transaction_city,transaction_state,transaction_country,currency_code,is_international,is_fraud,cardholder_id,cardholder_age,cardholder_gender
TXN000186,6.01122E+15,2/12/22 12:43,7.5,MRH00711,grocery,purchase,chip,Vancouver,,CAN,CAD,TRUE,FALSE,CH0016,52,female
TXN000193,6.011E+15,6/28/22 8:08,7.75,MRH10911,fast_food,purchase,swipe,Philadelphia,PA,USA,USD,FALSE,FALSE,CH2018,24,male
TXN000087,6.01112E+15,5/22/23 22:22,8,MRH00027,books,purchase,online,San Francisco,CA,USA,USD,FALSE,FALSE,CH1001,22,female
TXN000010,4.53202E+15,10/18/22 17:45,8.15,MRH00090,coffee_shop,purchase,contactless,Houston,TX,USA,USD,FALSE,FALSE,CH0009,26,female
TXN000038,6.011E+15,2/23/22 10:50,8.25,MRH00377,fast_food,purchase,contactless,Orlando,FL,USA,USD,FALSE,FALSE,CH0013,62,female
TXN000188,6.01122E+15,3/15/23 13:18,8.25,MRH00232,pharmacy,purchase,chip,Seattle,WA,USA,USD,FALSE,FALSE,CH0023,60,female
TXN000099,6.01199E+15,5/16/22 12:29,8.5,MRH00047,coffee_shop,purchase,chip,Austin,TX,USA,USD,FALSE,FALSE,CH1008,26,female
TXN000154,4.48501E+15,9/4/23 20:14,8.95,MRH10789,fast_food,purchase,contactless,Seattle,WA,USA,USD,FALSE,FALSE,CH4820,23,male
TXN000064,4.02401E+15,12/2/22 7:15,8.99,MRH00001,fast_food,purchase,contactless,Austin,TX,USA,USD,FALSE,FALSE,CH1006,21,male
TXN000159,6.012E+15,1/18/23 7:58,8.99,MRH00612,public_transport,purchase,contactless,Chicago,IL,USA,USD,FALSE,FALSE,CH0014,19,male
TXN000196,6.01167E+15,3/1/22 11:50,8.99,MRH00232,pharmacy,purchase,chip,Seattle,WA,USA,USD,FALSE,FALSE,CH0023,60,female
TXN000171,4.55674E+15,4/7/24 22:15,9.5,MRH10911,fast_food,purchase,contactless,San Diego,CA,USA,USD,FALSE,FALSE,CH1012,38,male
TXN000032,6.01189E+15,8/22/24 11:23,9.99,MRH00311,coffee_shop,purchase,contactless,Los Angeles,CA,USA,USD,FALSE,FALSE,CH0018,120,unknown
TXN000046,6.011E+15,10/18/22 14:33,9.99,MRH00465,clothing,purchase,chip,Las Vegas,NV,USA,USD,FALSE,FALSE,CH0031,37,male
TXN000159,4.89645E+15,3/1/23 17:05,9.99,MRH10234,coffee_shop,purchase,contactless,Los Angeles,CA,USA,USD,FALSE,FALSE,CH2222,26,female
TXN000200,6.01177E+15,12/5/22 7:14,9.99,MRH00612,public_transport,purchase,contactless,Chicago,IL,USA,USD,FALSE,FALSE,CH0014,19,male
TXN000054,3.7145E+14,8/18/22 18:46,10,MRH00012,fast_food,purchase,contactless,Chicago,IL,USA,USD,FALSE,FALSE,CH1002,28,male
TXN000154,5.4694E+15,7/18/22 19:17,10,MRH00344,fast_food,purchase,contactless,Montreal,,CAN,CAD,TRUE,FALSE,CH0005,29,female
TXN000039,6.011E+15,3/11/22 14:31,10.75,MRH00388,public_transport,purchase,contactless,London,,GBR,GBP,TRUE,FALSE,CH0028,21,unknown
TXN000083,6.01157E+15,6/12/23 15:33,10.99,MRH00031,fast_food,purchase,online,Los Angeles,CA,USA,USD,FALSE,FALSE,CH1005,37,male
TXN000044,6.011E+15,8/22/22 19:18,11.5,MRH00443,books,purchase,chip,Los Angeles,CA,USA,USD,FALSE,FALSE,CH0022,28,female
TXN000067,5.10511E+15,1/9/24 20:35,11.65,MRH00008,coffee_shop,purchase,online,Miami,FL,USA,USD,FALSE,FALSE,CH1008,26,female
TXN000156,6.01187E+15,11/16/22 16:42,12.2,MRH10234,books,purchase,chip,Boston,MA,USA,USD,FALSE,FALSE,CH3017,35,female
TXN000158,3.78282E+14,3/12/22 17:27,12.75,MRH00232,pharmacy,purchase,chip,Seattle,WA,USA,USD,FALSE,FALSE,CH0023,60,female
TXN000002,6.01193E+15,2/10/22 15:22,12.95,MRH00023,coffee_shop,purchase,contactless,San Francisco,CA,USA,USD,FALSE,FALSE,CH0002,24,male
TXN000095,6.01199E+15,1/27/24 14:03,12.99,MRH00043,fast_food,purchase,chip,Austin,TX,USA,USD,FALSE,FALSE,CH1006,21,male
TXN000176,6.01189E+15,2/6/23 10:27,13,MRH00612,public_transport,purchase,contactless,Boston,MA,USA,USD,FALSE,FALSE,CH0044,23,female
TXN000014,3.7145E+14,2/14/23 8:48,13.35,MRH00134,public_transport,purchase,contactless,Paris,,FRA,EUR,TRUE,FALSE,CH0006,19,male
TXN000052,6.01178E+15,12/25/23 21:29,13.49,MRH00015,coffee_shop,purchase,contactless,Boston,MA,USA,USD,FALSE,FALSE,CH1009,24,male
TXN000167,3.7145E+14,1/30/24 9:18,13.6,MRH00612,public_transport,purchase,online,San Francisco,CA,USA,USD,FALSE,FALSE,CH0013,25,unknown
TXN000190,6.01101E+15,10/24/23 10:10,14.25,MRH00616,coffee_shop,purchase,contactless,Toronto,,CAN,CAD,TRUE,FALSE,CH0021,32,male
TXN000179,6.01112E+15,9/29/23 11:35,14.75,MRH00616,coffee_shop,purchase,contactless,Montreal,,CAN,CAD,TRUE,FALSE,CH0021,32,male
TXN000006,6.01112E+15,6/3/22 16:44,14.89,MRH00067,public_transport,purchase,contactless,Boston,MA,USA,USD,FALSE,FALSE,CH0006,19,male
TXN000169,5.55556E+15,5/8/24 11:09,14.99,MRH00616,coffee_shop,purchase,contactless,Toronto,,CAN,CAD,TRUE,FALSE,CH0021,32,male
TXN000091,6.01123E+15,3/3/23 20:10,15,MRH00039,grocery,purchase,online,Montreal,,CAN,CAD,TRUE,FALSE,CH1018,53,male
TXN000169,4.007E+12,6/15/22 12:12,15.25,MRH11738,pharmacy,purchase,swipe,Phoenix,AZ,USA,USD,FALSE,FALSE,CH3589,61,male
TXN000198,6.01189E+15,5/22/22 13:39,15.25,MRH00616,coffee_shop,purchase,contactless,Toronto,,CAN,CAD,TRUE,FALSE,CH0021,32,male
TXN000079,6.011E+15,9/19/22 14:27,17,MRH00003,public_transport,purchase,contactless,Boston,MA,USA,USD,FALSE,FALSE,CH1007,23,female
TXN000183,6.01101E+15,11/11/23 16:53,17,MRH00760,furniture,purchase,chip,Houston,TX,USA,USD,FALSE,FALSE,CH0041,28,female
TXN000048,6.011E+15,12/3/22 1:45,17.45,MRH00487,coffee_shop,purchase,contactless,Phoenix,AZ,USA,USD,FALSE,FALSE,CH0019,52,male
TXN000195,6.01156E+15,5/29/23 21:43,17.5,MRH00612,public_transport,purchase,contactless,Chicago,IL,USA,USD,FALSE,FALSE,CH0014,19,male
TXN000098,6.01199E+15,3/11/24 16:49,17.75,MRH00046,books,purchase,online,Boston,MA,USA,USD,FALSE,FALSE,CH1009,24,male
TXN000183,6.011E+15,8/30/22 23:59,17.85,MRH11452,fast_food,purchase,swipe,Chicago,IL,USA,USD,FALSE,FALSE,CH2018,24,male
TXN000029,6.011E+15,5/21/24 14:11,18,MRH00278,clothing,purchase,online,San Jose,CA,USA,USD,FALSE,FALSE,CH0022,28,female
TXN000089,6.01143E+15,4/10/23 9:24,18.25,MRH00037,coffee_shop,purchase,contactless,,,SGP,SGD,TRUE,FALSE,CH1021,38,other
TXN000082,6.01112E+15,12/28/22 13:29,18.5,MRH00004,public_transport,purchase,contactless,Denver,CO,USA,USD,FALSE,FALSE,CH1007,23,female
TXN000186,6.011E+15,5/18/22 6:28,18.6,MRH10911,charity,payment,chip,Seattle,WA,USA,USD,FALSE,FALSE,CH3017,35,female
TXN000019,4.55674E+15,7/3/23 12:13,18.99,MRH00189,coffee_shop,purchase,online,Denver,CO,USA,USD,FALSE,FALSE,CH0017,23,male
TXN000197,6.011E+15,12/5/22 12:00,18.99,MRH10118,books,purchase,chip,San Francisco,CA,USA,USD,FALSE,FALSE,CH1200,120,other
TXN000008,4.53951E+15,8/21/22 22:55,19.49,MRH00089,books,purchase,chip,Seattle,WA,USA,USD,FALSE,FALSE,CH0003,29,female
TXN000041,6.011E+15,5/19/22 10:49,19.8,MRH00410,coffee_shop,purchase,contactless,Boston,MA,USA,USD,FALSE,FALSE,CH0006,19,male
TXN000025,4.53263E+15,1/23/24 16:18,19.99,MRH00234,fast_food,purchase,chip,Columbus,OH,USA,USD,FALSE,FALSE,CH0020,31,male
TXN000072,4.53246E+15,6/10/23 10:30,19.99,MRH00013,fast_food,purchase,contactless,Seattle,WA,USA,USD,FALSE,FALSE,CH1006,21,male
TXN000069,6.01199E+15,2/17/23 18:17,20,MRH00002,public_transport,purchase,contactless,Philadelphia,PA,USA,USD,FALSE,FALSE,CH1007,23,female
TXN000178,6.01123E+15,10/19/23 18:18,20,MRH00027,electronics,purchase,chip,Atlanta,GA,USA,USD,FALSE,FALSE,CH0010,36,male
TXN000151,4.53967E+15,3/12/24 9:15,21.99,MRH00616,coffee_shop,purchase,chip,Toronto,,CAN,CAD,TRUE,FALSE,CH0021,32,male
TXN000189,6.011E+15,5/2/23 11:11,22.45,MRH11023,coffee_shop,purchase,chip,Boston,MA,USA,USD,FALSE,FALSE,CH3017,35,female
TXN000151,4.53299E+15,7/12/23 14:43,22.47,MRH10321,coffee_shop,purchase,chip,Chicago,IL,USA,USD,FALSE,FALSE,CH3121,29,female
TXN000075,6.01199E+15,6/20/22 18:13,23,MRH00022,books,purchase,chip,San Diego,CA,USA,USD,FALSE,FALSE,CH1001,22,female
TXN000178,6.011E+15,3/29/24 20:03,23.5,MRH10118,books,purchase,chip,Denver,CO,USA,USD,FALSE,FALSE,CH1028,47,male
TXN000031,4.53202E+15,7/19/24 20:10,25,MRH00300,books,purchase,chip,Charlotte,NC,USA,USD,FALSE,FALSE,CH0023,34,female
TXN000056,5.10511E+15,4/13/23 14:12,25.5,MRH00027,books,purchase,chip,San Francisco,CA,USA,USD,FALSE,FALSE,CH1001,22,female
TXN000192,6.01135E+15,12/27/23 12:55,25.6,MRH00221,books,purchase,online,New York,NY,USA,USD,FALSE,FALSE,CH0004,37,female
TXN000012,4.00006E+15,12/25/22 13:35,25.99,MRH00112,books,purchase,chip,Philadelphia,PA,USA,USD,FALSE,FALSE,CH0011,23,female
TXN000097,6.01199E+15,8/14/22 13:10,27,MRH00045,coffee_shop,purchase,contactless,Los Angeles,CA,USA,USD,FALSE,FALSE,CH1008,26,female
TXN000016,6.011E+15,4/5/23 6:59,31.75,MRH00156,grocery,purchase,chip,Dallas,TX,USA,USD,FALSE,FALSE,CH0014,47,female
TXN000023,6.011E+15,11/11/23 9:44,32.99,MRH00012,grocery,purchase,chip,New York,NY,USA,USD,FALSE,FALSE,CH0001,31,female
TXN000078,4.53221E+15,10/16/23 8:43,33.5,MRH00014,pharmacy,purchase,chip,Minneapolis,MN,USA,USD,FALSE,FALSE,CH1002,28,male
TXN000086,6.01135E+15,11/12/22 13:49,35,MRH00013,fast_food,purchase,chip,Seattle,WA,USA,USD,FALSE,FALSE,CH1006,21,male
TXN000164,3.40001E+14,4/21/23 13:48,35,MRH00087,books,purchase,chip,Portland,OR,USA,USD,FALSE,FALSE,CH0039,27,other
TXN000165,6.0116E+15,4/18/22 15:29,37,MRH11624,public_transport,purchase,contactless,San Francisco,CA,USA,USD,FALSE,FALSE,CH2018,24,male
TXN000001,4.53252E+15,1/14/22 9:37,37.18,MRH00012,grocery,purchase,chip,New York,NY,USA,USD,FALSE,FALSE,CH0001,31,female
TXN000189,6.01101E+15,9/19/22 14:44,37.89,MRH00344,fast_food,purchase,contactless,Montreal,,CAN,CAD,TRUE,FALSE,CH0005,29,female
TXN000193,6.01144E+15,1/7/24 19:56,40,MRH00711,grocery,purchase,chip,Vancouver,,CAN,CAD,TRUE,FALSE,CH0016,52,female
TXN000076,6.01104E+15,2/17/23 20:22,41.2,MRH00032,coffee_shop,purchase,online,San Jose,CA,USA,USD,FALSE,FALSE,CH1008,26,female
TXN000152,6.01145E+15,9/27/23 15:05,43.5,MRH00221,books,purchase,contactless,Boston,MA,USA,USD,FALSE,FALSE,CH0044,23,female
TXN000085,6.01146E+15,7/18/23 8:08,44.99,MRH00016,pharmacy,purchase,swipe,Nashville,TN,USA,USD,FALSE,FALSE,CH1020,63,male
TXN000153,5.20082E+15,5/19/22 18:54,45.12,MRH10456,grocery,purchase,swipe,Houston,TX,USA,USD,FALSE,FALSE,CH2050,44,male
TXN000011,6.011E+15,11/5/22 10:12,47,MRH00101,fast_food,purchase,swipe,Atlanta,GA,USA,USD,FALSE,FALSE,CH0010,21,male
TXN000062,6.01183E+15,11/7/23 16:22,48,MRH00020,public_transport,purchase,contactless,New York,NY,USA,USD,FALSE,FALSE,CH1007,23,female
TXN000162,5.42523E+15,12/31/22 19:12,49.99,MRH10013,books,purchase,chip,Austin,TX,USA,USD,FALSE,FALSE,CH7033,32,female
TXN000036,6.012E+15,12/10/24 15:45,50,MRH00355,pharmacy,purchase,swipe,New York,NY,USA,USD,FALSE,FALSE,CH0001,31,female
TXN000040,6.011E+15,4/30/22 21:20,52.6,MRH00399,books,purchase,online,Paris,,FRA,EUR,TRUE,FALSE,CH0029,27,female
TXN000051,4.5322E+15,3/10/24 9:14,52.75,MRH00021,electronics,purchase,chip,Houston,TX,USA,USD,FALSE,FALSE,CH1004,32,female
TXN000033,6.011E+15,9/27/24 22:12,54.99,MRH00322,clothing,purchase,chip,Dallas,TX,USA,USD,FALSE,FALSE,CH0024,43,male
TXN000022,4.11111E+15,10/18/23 4:46,55.75,MRH00034,electronics,refund,chip,Chicago,IL,USA,USD,FALSE,FALSE,CH0003,29,female
TXN000185,6.01122E+15,1/13/24 15:31,56.75,MRH00312,clothing,purchase,chip,Miami,FL,USA,USD,FALSE,FALSE,CH0034,26,female
TXN000176,6.011E+15,1/18/22 14:09,58.7,MRH11123,auto_services,purchase,swipe,Detroit,MI,USA,USD,FALSE,FALSE,CH1028,47,male
TXN000181,6.01112E+15,5/10/24 9:24,60,MRH00123,auto_services,purchase,chip,Dallas,TX,USA,USD,FALSE,FALSE,CH0027,42,male
TXN000174,6.0119E+15,5/27/22 5:01,60.75,MRH00760,furniture,purchase,chip,Houston,TX,USA,USD,FALSE,FALSE,CH0041,28,female
TXN000005,4.9166E+15,5/12/22 13:02,61.2,MRH00056,fast_food,purchase,contactless,Austin,TX,USA,USD,FALSE,FALSE,CH0005,22,female
TXN000090,6.01132E+15,6/6/22 11:54,62.3,MRH00038,auto_services,purchase,swipe,Dallas,TX,USA,USD,FALSE,FALSE,CH1022,27,male
TXN000194,6.01101E+15,4/5/22 8:32,65,MRH00123,auto_services,payment,swipe,Phoenix,AZ,USA,USD,FALSE,FALSE,CH0008,38,male
TXN000068,4.53988E+15,7/31/22 6:37,68.99,MRH00011,grocery,purchase,chip,Phoenix,AZ,USA,USD,FALSE,FALSE,CH1005,37,male
TXN000181,6.011E+15,7/1/22 15:45,70,MRH11023,grocery,purchase,chip,Houston,TX,USA,USD,FALSE,FALSE,CH7045,45,male
TXN000059,6.01148E+15,3/30/23 10:55,72.35,MRH00018,grocery,purchase,chip,Los Angeles,CA,USA,USD,FALSE,FALSE,CH1005,37,male
TXN000158,5.10511E+15,5/28/23 23:30,72.5,MRH11023,clothing,purchase,chip,New York,NY,USA,USD,FALSE,FALSE,CH1055,41,female
TXN000024,5.42418E+15,12/29/23 23:32,75,MRH00223,pharmacy,purchase,swipe,Phoenix,AZ,USA,USD,FALSE,FALSE,CH0019,52,male
TXN000093,6.01146E+15,5/27/22 15:12,75.3,MRH00041,pharmacy,purchase,swipe,Houston,TX,USA,USD,FALSE,FALSE,CH1023,63,female
TXN000163,4.53922E+15,2/15/24 20:43,78.25,MRH00673,pharmacy,purchase,swipe,San Diego,CA,USA,USD,FALSE,FALSE,CH0022,61,female
TXN000177,3.528E+15,6/13/22 16:19,80,MRH00221,books,purchase,swipe,Osaka,,JPN,JPY,TRUE,TRUE,CH0007,48,male
TXN000047,6.011E+15,11/27/22 20:41,85,MRH00476,charity,payment,online,,,CAN,CAD,TRUE,TRUE,CH0032,51,other
TXN000191,6.011E+15,2/9/24 18:19,86,MRH11452,auto_services,purchase,chip,Atlanta,GA,USA,USD,FALSE,FALSE,CH7045,45,male
TXN000015,5.20083E+15,3/22/23 19:36,86.5,MRH00145,pharmacy,purchase,swipe,Miami,FL,USA,USD,FALSE,FALSE,CH0013,62,female
TXN000080,6.01122E+15,2/23/24 13:15,88,MRH00030,charity,payment,online,,,CAN,CAD,TRUE,FALSE,CH1018,53,male
TXN000200,6.011E+15,11/24/22 13:31,88.98,MRH11211,clothing,purchase,chip,San Diego,CA,USA,USD,FALSE,FALSE,CH3121,29,female
TXN000088,6.01177E+15,1/2/24 18:42,92.5,MRH00036,furniture,purchase,swipe,Portland,OR,USA,USD,FALSE,TRUE,CH1010,45,male
TXN000173,4.55636E+15,6/25/23 13:56,94.99,MRH11591,grocery,purchase,swipe,San Antonio,TX,USA,USD,FALSE,TRUE,CH3039,50,female
TXN000155,6.01179E+15,12/1/22 14:54,97.8,MRH00162,clothing,purchase,chip,Dallas,TX,USA,USD,FALSE,TRUE,CH0019,27,female
TXN000190,6.011E+15,10/11/22 12:32,98.8,MRH11591,clothing,purchase,online,Los Angeles,CA,USA,USD,FALSE,TRUE,CH2222,26,female
TXN000172,4.53918E+15,12/16/22 17:42,99.99,MRH00711,grocery,purchase,chip,Vancouver,,CAN,CAD,TRUE,FALSE,CH0016,52,female
TXN000027,4.00006E+15,3/12/24 19:53,120,MRH00256,auto_services,payment,chip,Dallas,TX,USA,USD,FALSE,FALSE,CH0014,47,female
TXN000160,4.55674E+15,6/7/24 22:51,120,MRH00344,grocery,purchase,chip,Los Angeles,CA,USA,USD,FALSE,FALSE,CH0005,29,female
TXN000187,6.01133E+15,3/8/24 19:22,120.99,MRH00816,luxury_goods,purchase,manual,Paris,,FRA,EUR,TRUE,TRUE,CH0017,55,female
TXN000164,4.55687E+15,11/24/23 12:35,127.3,MRH11452,electronics,purchase,online,Dallas,TX,USA,USD,FALSE,FALSE,CH6120,35,female
TXN000179,6.01112E+15,9/23/23 15:28,129,MRH11452,pharmacy,purchase,online,New York,NY,USA,USD,FALSE,FALSE,CH9012,61,female
TXN000017,6.01156E+16,5/16/23 16:44,129.99,MRH00167,clothing,purchase,online,San Diego,CA,USA,USD,FALSE,FALSE,CH0015,39,female
TXN000184,6.011E+15,4/2/24 10:10,134.99,MRH11591,books,purchase,online,Austin,TX,USA,USD,FALSE,FALSE,CH6120,35,female
TXN000073,6.01144E+15,4/17/22 11:04,150.45,MRH00028,clothing,purchase,chip,Portland,OR,USA,USD,FALSE,FALSE,CH1004,32,female
TXN000198,6.011E+15,8/8/23 9:21,150.99,MRH10321,clothing,purchase,swipe,Boston,MA,USA,USD,FALSE,FALSE,CH3039,50,female
TXN000152,6.01157E+15,1/10/24 10:32,173.58,MRH10013,electronics,purchase,online,San Jose,CA,USA,USD,FALSE,FALSE,CH1012,38,male
TXN000167,3.528E+15,2/18/23 5:17,197.99,MRH10862,clothing,purchase,online,Tokyo,,JPN,JPY,TRUE,FALSE,CH1092,28,female
TXN000174,6.01143E+15,3/13/24 19:17,199.99,MRH11624,electronics,purchase,online,Austin,TX,USA,USD,FALSE,FALSE,CH1067,34,female
TXN000199,6.012E+15,7/11/23 17:17,199.99,MRH00344,fast_food,purchase,contactless,Montreal,,CAN,CAD,TRUE,FALSE,CH0005,29,female
TXN000171,6.012E+15,4/18/24 20:48,210.45,MRH00501,electronics,purchase,chip,New York,NY,USA,USD,FALSE,FALSE,CH0004,37,female
TXN000070,6.011E+15,9/28/23 11:44,212,MRH00017,auto_services,purchase,swipe,Detroit,MI,USA,USD,FALSE,FALSE,CH1009,24,male
TXN000188,6.011E+15,2/23/24 13:45,222.89,MRH10456,furniture,purchase,online,,,SGP,SGD,TRUE,FALSE,CH1067,34,female
TXN000055,4.02401E+15,9/17/22 12:03,239.89,MRH00005,electronics,purchase,online,Dallas,TX,USA,USD,FALSE,FALSE,CH1003,33,female
TXN000157,3.78282E+14,2/3/22 9:16,239.99,MRH10118,electronics,purchase,online,London,,GBR,GBP,TRUE,FALSE,CH1055,41,female
TXN000096,6.01199E+15,8/9/23 19:55,240,MRH00044,furniture,purchase,chip,,,MEX,MXN,TRUE,FALSE,CH1024,29,male
TXN000003,3.72812E+14,3/19/22 21:37,243.67,MRH00034,electronics,purchase,online,Chicago,IL,USA,USD,FALSE,FALSE,CH0003,29,female
TXN000175,6.01135E+15,5/25/24 14:33,249.99,MRH00312,clothing,purchase,chip,Miami,FL,USA,USD,FALSE,FALSE,CH0034,26,female
TXN000182,6.011E+15,5/24/23 7:33,250,MRH10118,travel,purchase,online,Berlin,,DEU,EUR,TRUE,FALSE,CH7045,45,male
TXN000009,5.424E+15,9/30/22 11:26,256.71,MRH00023,electronics,purchase,online,Los Angeles,CA,USA,USD,FALSE,FALSE,CH0008,33,male
TXN000063,5.28231E+15,5/18/23 12:33,312.6,MRH00023,furniture,purchase,online,Atlanta,GA,USA,USD,FALSE,FALSE,CH1010,45,male
TXN000153,3.74583E+14,11/2/23 8:23,315.12,MRH00027,electronics,purchase,online,London,,GBR,GBP,TRUE,FALSE,CH0010,36,male
TXN000061,4.53944E+15,2/14/24 13:04,315.22,MRH00024,clothing,purchase,chip,Seattle,WA,USA,USD,FALSE,FALSE,CH1004,32,female
TXN000042,6.011E+15,6/21/22 16:16,330,MRH00421,auto_services,payment,chip,Houston,TX,USA,USD,FALSE,FALSE,CH0020,31,male
TXN000180,6.01184E+15,7/30/22 20:13,340,MRH00717,auto_services,payment,swipe,San Antonio,TX,USA,USD,FALSE,FALSE,CH0008,38,male
TXN000168,6.01123E+15,3/11/24 9:23,349.99,MRH11624,electronics,purchase,swipe,Denver,CO,USA,USD,FALSE,FALSE,CH5551,36,male
TXN000034,6.01112E+15,10/10/24 13:15,350,MRH00333,furniture,purchase,online,Seattle,WA,USA,USD,FALSE,FALSE,CH0025,45,female
TXN000081,6.012E+15,11/5/23 17:07,389.5,MRH00006,electronics,purchase,chip,San Antonio,TX,USA,USD,FALSE,FALSE,CH1003,33,female
TXN000045,6.011E+15,9/25/22 8:41,400,MRH00454,electronics,purchase,online,Berlin,,DEU,EUR,TRUE,FALSE,CH0030,42,male
TXN000165,6.01139E+15,11/11/22 6:31,400,MRH00123,auto_services,payment,swipe,Phoenix,AZ,USA,USD,FALSE,FALSE,CH0008,38,male
TXN000192,6.011E+15,11/19/23 9:12,405.5,MRH10118,electronics,purchase,online,,,AUS,AUD,TRUE,FALSE,CH5551,36,male
TXN000084,6.01133E+15,7/4/22 17:57,420,MRH00035,travel,purchase,online,Tokyo,,JPN,JPY,TRUE,FALSE,CH1019,51,female
TXN000037,4.53202E+15,1/15/22 17:21,490,MRH00366,electronics,purchase,chip,Chicago,IL,USA,USD,FALSE,FALSE,CH0027,41,female
TXN000177,4.55691E+15,10/1/23 8:41,499.99,MRH11738,furniture,purchase,chip,Dallas,TX,USA,USD,FALSE,FALSE,CH2035,58,unknown
TXN000094,6.01146E+15,9/12/23 10:20,589.99,MRH00042,luxury_goods,purchase,online,New York,NY,USA,USD,FALSE,FALSE,CH1004,32,female
TXN000170,6.01169E+15,8/4/22 7:22,670,MRH00027,electronics,purchase,online,Chicago,IL,USA,USD,FALSE,FALSE,CH0020,41,female
TXN000030,3.528E+15,6/15/24 12:09,700,MRH00289,travel,purchase,online,Osaka,,JPN,JPY,TRUE,FALSE,CH0016,66,other
TXN000166,4.00006E+15,7/3/23 18:21,850.25,MRH00232,pharmacy,refund,chip,Seattle,WA,USA,USD,FALSE,FALSE,CH0023,60,female
TXN000020,6.01199E+15,8/13/23 15:23,990,MRH00201,electronics,purchase,online,Toronto,,CAN,CAD,TRUE,FALSE,CH0001,31,female
TXN000007,3.78282E+14,7/15/22 8:05,1100,MRH00078,jewelry,purchase,manual,Zurich,,CHE,CHF,TRUE,TRUE,CH0007,38,female
TXN000155,3.74698E+14,2/21/24 13:20,1500.75,MRH10789,luxury_goods,purchase,manual,Zurich,,CHE,CHF,TRUE,TRUE,CH4820,23,male
TXN000043,6.011E+15,7/31/22 7:30,1700,MRH00432,luxury_goods,purchase,manual,Dubai,,ARE,AED,TRUE,TRUE,CH0012,47,male
TXN000035,6.01148E+15,11/4/24 9:53,2000,MRH00344,jewelry,purchase,manual,Geneva,,CHE,CHF,TRUE,TRUE,CH0026,61,male
TXN000191,6.01135E+15,10/10/22 14:29,2000,MRH00087,jewelry,purchase,manual,Zurich,,CHE,CHF,TRUE,TRUE,CH0028,59,other
TXN000156,4.53998E+15,6/29/23 21:02,2300.5,MRH00095,jewelry,purchase,manual,Zurich,,CHE,CHF,TRUE,TRUE,CH0028,59,other
TXN000053,5.35184E+15,4/11/24 15:11,2500,MRH00033,jewelry,purchase,manual,Dubai,,ARE,AED,TRUE,FALSE,CH1011,56,female
TXN000170,6.011E+15,12/1/23 16:46,2750,MRH10234,luxury_goods,purchase,manual,Paris,,FRA,EUR,TRUE,FALSE,CH3589,61,male
TXN000168,6.01181E+15,10/15/22 16:37,3250.66,MRH00162,luxury_goods,purchase,manual,Geneva,,CHE,CHF,TRUE,FALSE,CH0011,50,female
TXN000066,3.79355E+14,3/8/22 11:05,3700,MRH00019,travel,purchase,online,Paris,,FRA,EUR,TRUE,FALSE,CH1014,54,female
TXN000013,6.01126E+15,1/9/23 20:55,4000,MRH00123,luxury_goods,purchase,manual,Dubai,,ARE,AED,TRUE,TRUE,CH0012,47,male
